position,title,artist,source,chart_score,total_score
86,Calculated,Gianni Bini,Beatport_nu_disco,30,30
87,Paradise (feat. Alexandra Prince),Alexandra Prince,Beatport_nu_disco,28,28
88,Bebeccie's Theme,Opolopo,Beatport_nu_disco,26,26
89,Rapper's Good Times,Ivan Jack,Beatport_nu_disco,24,24
90,Street Player,Leonid & Friends,Beatport_nu_disco,22,22
91,Love Is Feeling,Gledd,Beatport_nu_disco,20,20
92,Tropical Electrical,Nic Hanson,Beatport_nu_disco,18,18
93,Let's Get Down,Seb Skalski,Beatport_nu_disco,16,16
94,U Dance,Groove P,Beatport_nu_disco,14,14
95,Undergound,Birdee,Beatport_nu_disco,12,12
96,Disco Inferno,Syzz,Beatport_nu_disco,10,10
97,Lovely Day,Ken@Work,Beatport_nu_disco,8,8
98,Any Signs of Love,Crazy P,Beatport_nu_disco,6,6
99,A Part of You,Cerrone,Beatport_nu_disco,4,4
100,Can't Stop Now,Babert,Beatport_nu_disco,2,2
1,Delicious,Risk Assessment,Traxsource,100,100
2,It Feels Alright,Miguel Migs,Traxsource,99,99
3,Push the Feeling On,Elektrik Disko,Traxsource,98,98
4,Baby Voque,Ghostbusterz,Traxsource,97,97
5,Best Of My Love,Block & Crown,Traxsource,96,96
6,Donna,Ron Carroll,Traxsource,95,95
7,Die Maschine,Purple Disco Machine,Traxsource,94,94
8,Suave As The Wind,Hotmood,Traxsource,93,93
9,Stop This Feeling,Sammy Deuce,Traxsource,92,92
10,Take Me Higher,Hotmood,Traxsource,91,91
11,Free,Block & Crown,Traxsource,90,90
12,Solana,Dominic Balchin,Traxsource,89,89
13,Respect,Jackers Revenge,Traxsource,88,88
14,"Alright, Alright",Scruscru,Traxsource,87,87
15,Just Clap (Extended Mix),Rodney Hunter,Traxsource,86,86
16,Love Is In The Air,Hotmood,Traxsource,85,85
18,Forget Me Nots,Block & Crown,Traxsource,83,83
20,Hypnotizin',Moon Boots,Traxsource,81,81
21,Don't Send Me Away,Jason Madden,Traxsource,80,80
22,Shake Your Body,Block & Crown,Traxsource,79,79
23,Kaloule Woman,Timbhai,Traxsource,78,78
24,Saint Tropez Grooves,Bab Jaques,Traxsource,77,77
25,dancebaby,Soul Legend,Traxsource,76,76
26,Sussudio,Jackers Revenge,Traxsource,75,75
27,Secrets,D.P.V.,Traxsource,74,74
28,Take Me Up,GoldRed,Traxsource,73,73
29,Do You Want It Right Now,Block & Crown,Traxsource,72,72
30,How You Feel,ANOTR,Traxsource,71,71
31,Another One Bites,Block & Crown,Traxsource,70,70
32,To Be Real,Adri Block,Traxsource,69,69
33,Caught Up,Antonello Ferrari,Traxsource,68,68
34,Soul Power,Paul Parsons,Traxsource,67,67
35,Rubb You,Block & Crown,Traxsource,66,66
36,Gonna Love You,D.P.V.,Traxsource,65,65
37,Paradise Feat. Alexandra Prince,Mark Lower,Traxsource,64,64
38,Moodena's Message,Moodena,Traxsource,63,63
39,Jungle Boogie,Doche,Traxsource,62,62
40,"Dance, Dance, Dance",Riccardo Fiori,Traxsource,61,61
41,Hot Stuff Baby,Matte,Traxsource,60,60
43,Easy Ride,Scruscru,Traxsource,58,58
44,Like A Fool,Crazy P,Traxsource,57,57
45,I Need You,Daisuke Miyamoto,Traxsource,56,56
46,You Broke My Heart,D.P.V.,Traxsource,55,55
47,Make Me Move,E. Live,Traxsource,54,54
48,Don't Know,D.P.V.,Traxsource,53,53
49,Like A Bouqet,Alexny,Traxsource,52,52
51,Poison For Us,Maryag,Traxsource,50,50
52,Smart Sound,Corrado Alunni,Traxsource,49,49
53,I Miss You,Alastair Lane,Traxsource,48,48
54,Some Kinda Love,D.P.V.,Traxsource,47,47
55,Warm Up,Re-Tide,Traxsource,46,46
56,Catch The Fly,ZOO PHONIC,Traxsource,45,45
57,You Got The Love,D.P.V.,Traxsource,44,44
58,We Found Love,Block & Crown,Traxsource,43,43
59,Up to U,Larry Funk,Traxsource,42,42
60,3 Days Later,Adam Ten,Traxsource,41,41
61,Really Gott2 Youz,DJ CUTTIN C,Traxsource,40,40
62,Discoteca-Bisteca,Black Hawks of Panama,Traxsource,39,39
63,Too Hot,Diskobar,Traxsource,38,38
64,It Must Be Love,Diskobar,Traxsource,37,37
65,Dancing Down The Path,The Coney Island Rhythm Band,Traxsource,36,36
66,Disco 2 Disco,T.Markakis,Traxsource,35,35
67,Everybody Loves,Jet Boot Jack,Traxsource,34,34
68,Vicino O' Mare,Riva Starr,Traxsource,33,33
69,In Love Again (DJ Christian B Extended Remix),Lee Wilson,Traxsource,32,32
70,São Paulo,Phazed Groove,Traxsource,31,31
71,All Yours,Groovemasta,Traxsource,30,30
72,Feeling,Sugar Hill,Traxsource,29,29
73,Let's Get Down,Abc Of Funk,Traxsource,28,28
74,It's Right,GooDisco,Traxsource,27,27
75,Keep Still,Gianluca Calabrese,Traxsource,26,26
76,She's On The Floor,Risk Assessment,Traxsource,25,25
77,Broken,XTAL,Traxsource,24,24
78,Rainbow,Diskobar,Traxsource,23,23
79,No Limit,Winkar,Traxsource,22,22
80,Comin' Out,Block & Crown,Traxsource,21,21
81,Gotta Get Some,Moodena,Traxsource,20,20
82,Always,B&S Concept,Traxsource,19,19
83,Sueno Latino,Sonic Soul Orchestra,Traxsource,18,18
84,Love Thang,Adri Block,Traxsource,17,17
85,The Lunatics,Radio Slave,Traxsource,16,16
86,For Your Love,GooDisco,Traxsource,15,15
87,Rock with You,Luca Debonaire,Traxsource,14,14
88,Disco Fever,Ron Carroll,Traxsource,13,13
89,Jazz In The Middle,Quinten 909,Traxsource,12,12
90,Sun Going Down,Physical Education,Traxsource,11,11
91,Insomnia,Jolyon Petch,Traxsource,10,10
92,Don't Send Me Away,Twism,Traxsource,9,9
93,Gettin Ready,Block & Crown,Traxsource,8,8
94,Can U Feel My Love?,Paolo Bardelli,Traxsource,7,7
95,Soul Jesais,White Ocean,Traxsource,6,6
96,Inside Out,Chemars,Traxsource,5,5
97,Strictly Cool,DJ Popinjay,Traxsource,4,4
98,Dancing Shoes,Ilya Santana,Traxsource,3,3
99,Rise Up,N9ne Lives,Traxsource,2,2
100,River (feat. James Tone),Lenno,Traxsource,1,1
